Date,Plot #,SFV/SPP,OPP,EBA,BBA
8/21/2024,1063,0.14,0.03,0.23,0.27
8/21/2024,511,0.1,0,0.27,0.33
8/21/2024,509,0.35,0,0.13,0.1
8/21/2024,1055,0.13,0.03,0.09,0.53
9/22/2024,1063,,,,
9/22/2024,511,0.21,0,0.3,0.22
9/22/2024,509,,,,
9/22/2024,1055,0.24,0,0.16,0.19
10/13/2024,1063,0.13,0.13,0.39,0.17
10/13/2024,511,,,,
10/13/2024,509,,,,
10/13/2024,1055,0.24,0.13,0.07,0.23
10/28/2024,1063,0.08,0.03,0.47,0.3
10/28/2024,511,0.05,0,0.77,0.03
10/28/2024,509,0.1,0.11,0.33,0.11
10/28/2024,1055,0.24,0,0.17,0.1
11/25/2024,1063,0.22,0.03,0.19,0.09
11/25/2024,511,0.23,0.03,0.13,0.13
11/25/2024,509,0.07,0.21,0.24,0.1
11/25/2024,1055,0.1,0,0.13,0.5
12/9/2024,1063,0.15,0.03,0.27,0
12/9/2024,511,0.09,0,0.3,0.1
12/9/2024,509,,,,
12/9/2024,1055,,,,
1/2/2025,1063,0.27,0.03,0.23,0.1
1/2/2025,511,0.2,0,0.07,0.33
1/2/2025,509,0.14,0.03,0.43,0.23
1/2/2025,1055,0.22,0.07,0.1,0.13
2/11/2025,1063,0.16,0.03,0.35,0.13
2/11/2025,511,0.19,0.03,0.19,0.03
2/11/2025,509,0.2,0.07,0.23,0.07
2/11/2025,1055,0.1,0.03,0.42,0.29
3/4/2025,1063,,,,
3/4/2025,511,0.07,0,0.33,0.07
3/4/2025,509,0,0.13,0.3,0.23
3/4/2025,1055,0.07,0.07,0.3,0.43
3/12/2025,1063,0.07,0.03,0.3,0.2
3/12/2025,511,0.03,0.23,0.3,0.03
3/12/2025,509,0.07,0.13,0.33,0.23
